15:11:27.171 INFO  manager.ApplicationManager - All tests rus in Chrome Browser
15:11:27.744 INFO  manager.ApplicationManager - The link --->https://telranedu.web.app/home
15:11:27.767 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
15:11:32.800 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
15:11:32.800 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
15:11:32.819 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
15:11:32.822 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (487f51f9a43757457b11cac2d0849860)] -> css selector: a[href='/login']]
15:11:32.880 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (487f51f9a43757457b11cac2d0849860)] -> css selector: a[href='/login']]
15:11:32.880 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
15:11:32.881 INFO  manager.ListenerWD - Before find element: By.name: email
15:11:32.895 INFO  manager.ListenerWD - element found success: By.name: email
15:11:32.895 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (487f51f9a43757457b11cac2d0849860)] -> name: email]
15:11:32.933 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (487f51f9a43757457b11cac2d0849860)] -> name: email]
15:11:33.085 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
15:11:33.099 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
15:11:33.099 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (487f51f9a43757457b11cac2d0849860)] -> xpath: //input[last()]]
15:11:33.131 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (487f51f9a43757457b11cac2d0849860)] -> xpath: //input[last()]]
15:11:33.263 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
15:11:33.285 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
15:11:33.285 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (487f51f9a43757457b11cac2d0849860)] -> xpath: //button[text()='Login']]
15:11:33.315 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (487f51f9a43757457b11cac2d0849860)] -> xpath: //button[text()='Login']]
15:11:33.328 INFO  tests.TestBase - Name of method ---> addContactSuccessAllFields
